time,stations,station_x_coordinate,station_y_coordinate,MSL
2014-01-01,143,34.167,35.544000000000004,0.045
2014-01-01,144,34.255,35.574,0.045
2014-01-01,145,34.329,35.588,0.045
2014-01-01,146,34.417,35.632,0.044
2014-01-01,147,34.504,35.662,0.044
2014-01-01,148,34.578,35.676,0.044
2014-01-01,149,34.519,35.618,0.044
2014-01-01,150,34.446,35.588,0.044
2014-01-01,151,34.373,35.53,0.045
2014-01-01,152,34.285000000000004,35.486000000000004,0.045
2014-01-01,153,34.211,35.442,0.045
2014-01-01,154,27.166,35.427,0.049
2014-01-01,155,27.092000000000002,35.442,0.048
2014-01-01,156,27.107,35.5,0.049
2014-01-01,157,27.078,35.574,0.048
2014-01-01,158,27.107,35.647,0.048
2014-01-01,159,27.151,35.72,0.048
2014-01-01,160,27.18,35.808,0.048
2014-01-01,161,27.224,35.779,0.048
2014-01-01,162,27.195,35.691,0.048
2014-01-01,163,27.18,35.618,0.048
2014-01-01,164,27.224,35.53,0.048
2014-01-01,165,27.195,35.457,0.049
2014-01-01,166,23.328,35.837,0.049
2014-01-01,167,23.284,35.896,0.049
2014-01-01,168,14.509,35.808,0.049
2014-01-01,169,14.421000000000001,35.823,0.049
2014-01-01,170,14.348,35.881,0.049
2014-01-01,171,14.319,35.969,0.048
2014-01-01,172,14.246,36.013,0.048
2014-01-01,173,14.202,36.057,0.048
2014-01-01,174,14.290000000000001,36.072,0.048
2014-01-01,175,14.363,36.013,0.048
2014-01-01,176,14.436,35.969,0.049
2014-01-01,177,14.509,35.925000000000004,0.049
2014-01-01,178,14.553,35.852000000000004,0.048
2014-01-01,179,27.605,36.218,0.046
2014-01-01,180,27.546,36.233000000000004,0.046
2014-01-01,181,22.961000000000002,36.145,0.048
2014-01-01,182,22.917,36.233000000000004,0.048
2014-01-01,183,22.903000000000002,36.321,0.048
2014-01-01,184,22.947,36.365,0.048
2014-01-01,185,23.02,36.306,0.048
2014-01-01,186,23.093,36.262,0.048
2014-01-01,187,23.049,36.189,0.048
2014-01-01,188,25.803,36.35,0.047
2014-01-01,189,25.759,36.394,0.047
2014-01-01,190,25.847,36.365,0.047
2014-01-01,191,27.795,35.896,0.047
2014-01-01,192,27.722,35.955,0.047
2014-01-01,193,27.751,36.042,0.046
2014-01-01,194,27.708000000000002,36.116,0.046
2014-01-01,195,27.722,36.189,0.046
2014-01-01,196,27.781,36.248,0.046
2014-01-01,197,27.854,36.292,0.046
2014-01-01,198,27.927,36.35,0.045
2014-01-01,199,28.015,36.379,0.045
2014-01-01,200,28.088,36.409,0.045
2014-01-01,201,28.176000000000002,36.438,0.045
2014-01-01,202,28.235,36.409,0.045
2014-01-01,203,28.206,36.335,0.045
2014-01-01,204,28.162,36.248,0.045
2014-01-01,205,28.118000000000002,36.174,0.046
2014-01-01,206,28.088,36.101,0.046
2014-01-01,207,28.03,36.072,0.046
2014-01-01,208,27.942,36.028,0.046
2014-01-01,209,27.883,35.969,0.047
2014-01-01,210,25.481,36.35,0.047
2014-01-01,211,25.393,36.35,0.047
2014-01-01,212,25.408,36.394,0.047
2014-01-01,213,25.378,36.467,0.047
2014-01-01,214,25.466,36.438,0.047
2014-01-01,215,27.356,36.394,0.046
2014-01-01,216,27.297,36.453,0.045
2014-01-01,217,27.356,36.467,0.045
